"Release","FileName","LOC","NR","NAuth","CC","NComm","LocAdded","MaxLocAdded","AvgLocAdded","Churn","MaxChurn","AvgChurn","Buggy{No,Yes}"
"4","lang/java/src/java/org/apache/avro/reflect/Union.java","39","0","0","1","24","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/generic/GenericArray.java","36","0","0","1","18","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/io/DecoderFactory.java","232","0","0","15","26","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/specific/SpecificCompiler.java","422","3","2","81","22","17","14","5.666666666666667","1","1","0.3333333333333333","false"
"4","lang/java/src/java/org/apache/avro/ipc/LocalTransceiver.java","52","0","0","1","18","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/specific/SpecificDatumReader.java","88","1","1","4","18","1","1","1.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/file/SeekableInput.java","36","0","0","1","18","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/specific/SpecificRecord.java","25","1","1","1","19","4","4","4.0","2","2","2.0","false"
"4","lang/java/src/java/org/apache/avro/generic/GenericRecord.java","27","1","1","1","19","6","6","6.0","3","3","3.0","false"
"4","lang/java/src/java/org/apache/avro/file/DataFileConstants.java","38","2","2","1","20","4","3","2.0","1","1","0.5","false"
"4","lang/java/src/java/org/apache/avro/util/Utf8.java","92","1","1","12","18","0","0","0.0","5","5","5.0","false"
"4","lang/java/src/java/org/apache/avro/ipc/Responder.java","211","1","1","19","18","2","2","2.0","1","1","1.0","false"
"4","lang/java/src/java/org/apache/avro/io/ResolvingDecoder.java","228","10","2","39","30","80","61","8.0","61","30","6.1","false"
"4","lang/java/src/java/org/apache/avro/specific/FixedSize.java","36","0","0","1","21","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/ipc/stats/Histogram.java","205","0","0","7","26","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/tool/Util.java","71","1","1","3","18","0","0","0.0","14","14","14.0","false"
"4","lang/java/src/java/org/apache/avro/io/BlockingBinaryEncoder.java","620","1","1","51","24","8","8","8.0","2","2","2.0","false"
"4","lang/java/src/java/org/apache/avro/reflect/ReflectDatumWriter.java","125","0","0","9","21","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/io/ValidatingDecoder.java","231","5","2","11","21","5","3","1.0","6","2","1.2","false"
"4","lang/java/src/java/org/apache/avro/generic/GenericContainer.java","26","0","0","1","18","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/ipc/HttpServer.java","59","0","0","5","18","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/tool/Main.java","97","2","2","7","18","2","2","1.0","16","16","8.0","false"
"4","lang/java/src/java/org/apache/avro/reflect/ReflectRequestor.java","75","0","0","1","18","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/ipc/HttpTransceiver.java","112","1","1","7","18","3","3","3.0","1","1","1.0","false"
"4","lang/java/src/java/org/apache/avro/file/DeflateCodec.java","145","4","2","11","27","39","17","9.75","53","46","13.25","false"
"4","lang/java/src/java/org/apache/avro/file/CodecFactory.java","76","1","1","2","18","0","0","0.0","6","6","6.0","false"
"4","lang/java/src/java/org/apache/avro/Protocol.java","387","2","1","41","32","5","3","2.5","2","1","1.0","false"
"4","lang/java/src/java/org/apache/avro/generic/GenericResponder.java","54","0","0","1","18","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/io/ParsingEncoder.java","69","0","0","4","19","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/tool/JsonToBinaryFragmentTool.java","77","0","0","5","18","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java","447","9","2","89","21","46","20","5.111111111111111","126","110","14.0","false"
"4","lang/java/src/java/org/apache/avro/ipc/stats/StatsPlugin.java","121","0","0","3","24","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/io/DatumReader.java","37","0","0","1","20","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/tool/RpcSendTool.java","123","1","1","7","20","13","13","13.0","25","25","25.0","false"
"4","lang/java/src/java/org/apache/avro/specific/SpecificExceptionBase.java","43","1","1","4","18","1","1","1.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java","99","4","2","18","21","13","4","3.25","6","2","1.5","false"
"4","lang/java/src/java/org/apache/avro/tool/RpcReceiveTool.java","176","1","1","13","21","10","10","10.0","36","36","36.0","false"
"4","lang/java/src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java","136","4","2","20","20","11","4","2.75","6","2","1.5","false"
"4","lang/java/src/java/org/apache/avro/io/BinaryDecoder.java","983","3","2","84","29","172","147","57.333333333333336","682","673","227.33333333333334","false"
"4","lang/java/src/java/org/apache/avro/io/parsing/Symbol.java","549","9","2","20","21","49","17","5.444444444444445","224","164","24.88888888888889","false"
"4","lang/java/src/java/org/apache/avro/reflect/ReflectResponder.java","47","0","0","1","18","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/reflect/InduceSchemaTool.java","76","1","1","8","20","2","2","2.0","1","1","1.0","false"
"4","lang/java/src/java/org/apache/avro/ipc/SocketTransceiver.java","98","1","1","7","19","1","1","1.0","1","1","1.0","false"
"4","lang/java/src/java/org/apache/avro/file/SeekableFileInput.java","36","0","0","1","18","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/ipc/stats/StatsServlet.java","107","0","0","4","25","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/io/BinaryEncoder.java","252","1","1","5","35","1","1","1.0","2","2","2.0","false"
"4","lang/java/src/java/org/apache/avro/ipc/Requestor.java","230","1","1","19","18","3","3","3.0","1","1","1.0","false"
"4","lang/java/src/java/org/apache/avro/io/JsonEncoder.java","244","5","2","19","18","11","6","2.2","6","6","1.2","false"
"4","lang/java/src/java/org/apache/avro/io/DirectBinaryDecoder.java","203","0","0","20","25","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/io/ValidatingEncoder.java","202","4","2","3","21","4","1","1.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/io/Encoder.java","270","0","0","1","35","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/reflect/Stringable.java","34","0","0","1","22","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/specific/SpecificFixed.java","27","0","0","1","18","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/reflect/ReflectDatumReader.java","146","1","1","21","21","2","2","2.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/ipc/DatagramTransceiver.java","85","1","1","4","19","1","1","1.0","1","1","1.0","false"
"4","lang/java/src/java/org/apache/avro/SchemaParseException.java","25","0","0","1","18","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/io/ParsingDecoder.java","74","0","0","25","19","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/io/Decoder.java","286","1","1","1","31","1","1","1.0","7","7","7.0","false"
"4","lang/java/src/java/org/apache/avro/tool/GenAvroTool.java","78","1","1","4","21","1","1","1.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/file/DataFileStream.java","267","5","2","35","21","58","22","11.6","99","50","19.8","false"
"4","lang/java/src/java/org/apache/avro/generic/GenericDatumReader.java","354","4","3","53","18","198","189","49.5","131","126","32.75","false"
"4","lang/java/src/java/org/apache/avro/ipc/ByteBufferOutputStream.java","90","0","0","6","19","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/reflect/ReflectData.java","412","2","1","81","18","17","14","8.5","3","2","1.5","false"
"4","lang/java/src/java/org/apache/avro/io/DatumWriter.java","35","0","0","1","20","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/io/JsonDecoder.java","425","5","2","66","18","7","2","1.4","2","1","0.4","false"
"4","lang/java/src/java/org/apache/avro/AvroTypeException.java","28","0","0","1","18","0","0","0.0","0","0","0.0","false"
"4","lang/java/src/java/org/apache/avro/ipc/stats/FloatHistogram.java","54","0","0","3","22","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/ipc/Transceiver.java","43","0","0","1","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/AvroRuntimeException.java","28","0","0","1","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/ipc/ResponderServlet.java","55","0","0","3","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/specific/SpecificRecordBase.java","53","0","0","4","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/file/DataFileWriter.java","374","0","0","23","25","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/ipc/RPCPlugin.java","74","0","0","1","23","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/tool/DataFileWriteTool.java","98","0","0","6","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/ipc/Server.java","29","0","0","1","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/ipc/stats/Stopwatch.java","74","0","0","6","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/file/Codec.java","50","0","0","1","22","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/generic/GenericDatumWriter.java","196","0","0","19","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/specific/SpecificRequestor.java","108","1","1","3","18","2","2","2.0","3","3","3.0","false"
"5","lang/java/src/java/org/apache/avro/io/BinaryData.java","187","0","0","33","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/file/DataFileReader.java","168","0","0","12","20","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/ipc/RPCContext.java","157","1","1","5","24","3","3","3.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/generic/GenericData.java","491","0","0","131","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/io/parsing/Parser.java","191","0","0","20","21","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/file/LengthLimitedInputStream.java","85","0","0","6","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/ipc/ByteBufferInputStream.java","86","0","0","9","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/file/NullCodec.java","64","0","0","2","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/tool/Tool.java","51","0","0","1","21","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/generic/GenericRequestor.java","69","1","1","5","18","0","0","0.0","14","14","14.0","false"
"5","lang/java/src/java/org/apache/avro/specific/SpecificDatumWriter.java","57","0","0","1","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/ipc/SocketServer.java","111","0","0","11","19","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/io/parsing/SkipParser.java","95","0","0","5","22","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/tool/DataFileReadTool.java","78","0","0","3","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/tool/DataFileGetSchemaTool.java","54","0","0","2","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/specific/SpecificData.java","212","1","1","60","18","1","1","1.0","1","1","1.0","false"
"5","lang/java/src/java/org/apache/avro/reflect/Nullable.java","33","0","0","1","21","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/ipc/DatagramServer.java","79","0","0","6","19","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/tool/BinaryFragmentToJsonTool.java","85","0","0","5","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/specific/SchemaTask.java","28","0","0","1","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/Schema.java","1087","0","0","134","49","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/generic/GenericFixed.java","24","0","0","1","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/ipc/AvroRemoteException.java","40","0","0","1","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/specific/SpecificResponder.java","102","1","1","9","18","8","8","8.0","5","5","5.0","false"
"5","lang/java/src/java/org/apache/avro/specific/ProtocolTask.java","79","0","0","9","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/generic/IndexedRecord.java","26","0","0","1","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/reflect/Union.java","39","0","0","1","24","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/generic/GenericArray.java","36","0","0","1","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/io/DecoderFactory.java","232","0","0","15","26","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/specific/SpecificCompiler.java","422","0","0","81","22","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/ipc/LocalTransceiver.java","52","0","0","1","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/specific/SpecificDatumReader.java","88","0","0","4","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/file/SeekableInput.java","36","0","0","1","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/specific/SpecificRecord.java","25","0","0","1","19","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/generic/GenericRecord.java","27","0","0","1","19","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/file/DataFileConstants.java","38","0","0","1","20","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/util/Utf8.java","94","1","1","12","18","0","0","0.0","2","2","2.0","false"
"5","lang/java/src/java/org/apache/avro/ipc/Responder.java","206","1","1","17","18","12","12","12.0","5","5","5.0","false"
"5","lang/java/src/java/org/apache/avro/io/ResolvingDecoder.java","228","0","0","39","30","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/specific/FixedSize.java","36","0","0","1","21","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/ipc/stats/Histogram.java","205","0","0","7","26","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/tool/Util.java","71","0","0","3","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/io/BlockingBinaryEncoder.java","620","0","0","51","24","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/reflect/ReflectDatumWriter.java","125","0","0","9","21","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/io/ValidatingDecoder.java","231","0","0","11","21","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/generic/GenericContainer.java","26","0","0","1","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/ipc/HttpServer.java","59","0","0","5","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/tool/Main.java","97","0","0","7","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/reflect/ReflectRequestor.java","75","0","0","1","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/ipc/HttpTransceiver.java","112","0","0","7","18","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/file/DeflateCodec.java","145","0","0","11","27","0","0","0.0","0","0","0.0","false"
"5","lang/java/src/java/org/apache/avro/file/CodecFactory.java","76","0","0","2","18","0","0","0.0","0","0","0.0","false"
